product_id,source_product_name,digit_in_url
2491,"Redmi Y3 (Prime Black, 3GB RAM, 32GB Storage)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y3-review-181511.html
2491,"Redmi Y3 (Prime Black, 64 GB)",https://www.digit.in/reviews/mobile-phones/xiaomi-redmi-y3-review-181511.html
1058,"Apple iPhone 6s (Silver, 32 GB)",NA
1058,"Apple iPhone 6s (Space Grey, 32 GB)",NA
1058,"Apple iPhone 6s Plus (Silver, 32 GB)",NA
1721,"Apple iPhone 8 (PRODUCT)RED (Red, 256 GB)",NA
2273,"Asus Zenfone 4 (Red, 8 GB)",NA
2239,"Ceuta Retails PVC Water Proof Hand Fitness Gym Mobile Case, Phone Arm Pouch for Running Jogging Sports Activities for Redmi and all Smartphone (Black)",NA
2213,"Gionee P5 Mini (Red, 8 GB)",NA
1684,"Gionee S6 Pro (Rose Gold, 32 GB)",NA
1684,"Gionee S6S (Latte Gold, 32 GB)",NA
2212,"Honor 8 Lite (Black, 64 GB)",NA
1965,"Honor 8 Lite (Blue, 64 GB)",NA
2282,"Honor Bee 2 (Gold, 8 GB)",NA
2111,"Honor Bee 4G (Black, 8 GB)",NA
1832,"Honor Holly 3 (White, 16 GB)",NA
1832,"Honor Holly 4 (Grey, 32 GB)",NA
1088,"HTC One E9S (Roast Chestnut, 16 GB)",NA
1393,"Huawei P 30 Lite (Peacock Blue, 6GB RAM, 128GB Storage)",NA
2444,"Karbonn A9 Indian 4G VoLTE (Black & Champagne, 8 GB)",NA
1777,"Lava V2s (Icy White, 8 GB)",NA
1483,"Lava X17 4G with VoLTE (Champagne & Gold, 8 GB)",NA
1767,"Lenovo K8 (Fine Gold, 32 GB)",NA
1092,"Lenovo Vibe P1 Turbo (Silver, 32 GB)",NA
1632,"Lenovo Vibe P1 Turbo/Vibe P1 (Grey, 32 GB)",NA
2055,"LG G7+ ThinQ (Blue, 128 GB)",NA
2308,"LG K7i (Brown, 16 GB)",NA
2132,"LG Spirit 4G LTE (Black Titan, 8 GB)",NA
2413,"Mi Redmi 6 (Black, 3GB RAM, 64GB Storage)",NA
2413,"Mi Redmi 6 (Black, 3GB RAM, 64GB Storage)",NA
2413,"Mi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",NA
2413,"Mi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",NA
2413,"Mi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",NA
2063,Micromax Bharat 2 Plus (Black),NA
2063,"Micromax Bharat 2 Plus (Blue, 8 GB)",NA
2063,"Micromax Bharat 2 Ultra (Black, 4 GB)",NA
2469,"Micromax Bharat 4 (Champagne, 16 GB)",NA
2469,"Micromax Bharat 4 Diwali Edition (Matte Black, 8 GB)",NA
2469,"Micromax Bharat 5 (Jet Black, 16 GB)",NA
2470,"Micromax BHARAT5 Infinity Edition Q4204 (1GB, 16GB, 5000mAh, Matte Blue)",NA
2470,"Micromax BHARAT5 Infinity Edition Q4204 (1GB, 16GB, 5000mAh, Matte Blue)",NA
1260,"Micromax Bolt Q336 (Champange Gold, 4 GB)",NA
2158,"Micromax Canvas Nitro 3 E352 (Slate Grey, 16 GB)",NA
1250,"Micromax Canvas Unite 4 Plus (Champange, 16 GB)",NA
1954,"Micromax X (Blue, 56 MB)",NA
2320,"Nokia 7.1_BL (Blue, 4GB, 64GB Storage)",NA
2198,"Nokia 8.1 (Blue, 128 GB)",NA
2422,"Nokia 8.1 (Iron, 128 GB)",NA
2422,"Nokia 8.1 (Iron, 64 GB)",NA
2422,"Nokia 8110 (Black, 4 GB)",NA
2090,"OPPO F7 (Red, 128 GB)",NA
2342,"OPPO Ravichandran Ashwin Limited Edition (Black, 64 GB)",NA
2139,"Panasonic Eluga A3 (Mocha Gold, 16 GB)",NA
2139,"Panasonic Eluga I2 (Gold, 16 GB)",NA
1300,"Panasonic Eluga I2 Activ (Gold, 16 GB)",NA
2052,"Panasonic Eluga Ray 530 (Blue, 32 GB)",NA
2433,"Panasonic Eluga Z1 Pro (Black, 64 GB)",NA
1475,"Panasonic P71 (Ivory Gold, 16 GB)",NA
1883,"Panasonic P9 (Champagne Gold, 16 GB)",NA
2357,"Realme 3 (Dynamic Black, 64 GB)",NA
2478,"Realme 3 (Dynamic Black, 64 GB)",NA
2220,"Redmi 6 (Black, 3GB RAM, 32GB Storage)",NA
2413,"Redmi 6 (Blue, 32 GB)",NA
2413,"Redmi 6 (Blue, 32 GB)",NA
2413,"Redmi 6 (Blue, 3GB RAM, 32GB Storage)",NA
