source_product_name,url
"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
"Redmi 6 Pro (Red, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
"Redmi 6 Pro (Red, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-pro-review-1920819
"Xiaomi Redmi 6 (Gold, 3GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-review-1920449
"Redmi 6 (Rose Gold, 3GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-review-1920449
"Redmi 6 (Black, 3GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-review-1920449
"Redmi 6 (Blue, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-review-1920449
"Redmi 6 (Blue, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-review-1920449
"Redmi 6 (Blue, 3GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6-review-1920449
"Redmi 6A (Blue, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6a-review-1919103
"Redmi 6A (Blue, 2GB RAM, 32GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6a-review-1919103
"Redmi 6A (Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6a-review-1919103
"Redmi 6A (Rose Gold, 32 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-6a-review-1919103
"Redmi Note 6 Pro (Blue, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-note-6-pro-review-1951381
"Redmi Note 6 Pro (Red, 4GB RAM, 64GB Storage)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-note-6-pro-review-1951381
"Redmi Y2 (Black, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-y2-review-1863505
"Redmi Y2 (Gold, 64 GB)",https://gadgets.ndtv.com/mobiles/reviews/xiaomi-redmi-y2-review-1863505
