source_id,product_id,source_product_id,source_product_name,source_product_url
3,20000155,B01MYT4WZ9,Eureka Forbes Mini Wet and Dry Vacuum Cleaner (Red/Black),https://www.amazon.in/dp/B01MYT4WZ9
3,20000156,B00IY90THS,Eureka Forbes Trendy Wet and Dry DX 1150-Watt Vacuum Cleaner (Black and Red),https://www.amazon.in/dp/B00IY90THS
3,20000157,B077GRWV21,Eureka Forbes Trendy Zip+ 2-Litre Canister Vacuum Cleaner (Red/Silver),https://www.amazon.in/dp/B077GRWV21
3,20000158,B00ILND10Y,Eureka Forbes 100-Watt Car Vaccum Cleaner (White and Black),https://www.amazon.in/dp/B00ILND10Y
3,20000159,B00E9G8IR8,Eureka Forbes Aquaguard Personal Purifier Bottle (Black),https://www.amazon.in/dp/B00E9G8IR8
3,20000160,B01D9QZ1ZK,Eureka Forbes Vogue Upright 1400-Watt Vacuum Cleaner (Red and Silver),https://www.amazon.in/dp/B01D9QZ1ZK
3,20000161,B00LP9RFSU,"Eureka Forbes Aquasure Amrit Twin Cartridge (White, Pack of 2)",https://www.amazon.in/dp/B00LP9RFSU
3,20000162,B00WQTXL4K,Eureka Forbes Aquaguard Enhance 7-Litre RO Water Purifier (Black and White),https://www.amazon.in/dp/B00WQTXL4K
3,20000163,B00WQTXCNK,Eureka Forbes Aquaguard Enhance 7-Litre UV+UF Water Purifier (Black and White),https://www.amazon.in/dp/B00WQTXCNK
3,20000164,B01JLYO3HG,Eureka Forbes Aquasure 1500 Litres Cartridge with Auto Shut-off (Common for Xtra Tuff / Maxima / Shakti / Aayush ),https://www.amazon.in/dp/B01JLYO3HG
3,20000165,B00M6MC7B0,Eureka Forbes Aquasure from Aquaguard Aayush 22-Litre Water Purifier (Green),https://www.amazon.in/dp/B00M6MC7B0
3,20000166,B00WQTXUWI,Eureka Forbes Aquaguard Enhance Green 7-Litre RO Water Purifier (Black and White),https://www.amazon.in/dp/B00WQTXUWI
3,20000167,B01FRWVI06,Eureka Forbes Aeroguard Mist 56-Watt Air Purifier (Silver),https://www.amazon.in/dp/B01FRWVI06
3,20000168,B00E9G8EMW,Eureka Forbes Aquasure from Aquaguard Xpert 8-Litre RO+UV Water Purifier,https://www.amazon.in/dp/B00E9G8EMW
3,20000169,B01AG5FX00,Eureka Forbes Tornado 1200-Watt Vacuum Cleaner (Black/Red),https://www.amazon.in/dp/B01AG5FX00
3,20000170,B01D4OK7QU,Eureka Forbes Aeroguard Breeze 22-Watt Air Purifier (Silver),https://www.amazon.in/dp/B01D4OK7QU
3,20000171,B01DP95TBM,Eureka Forbes Aeroguard Fresh Car Air Purifier(Black),https://www.amazon.in/dp/B01DP95TBM
3,20000172,B01D4PKIX6,Eureka Forbes Aeroguard Wave 123-Watt Air Purifier (Silver),https://www.amazon.in/dp/B01D4PKIX6
3,20000173,B01ITEKPE4,Eureka Forbes Aquasure Maxima 1500 Water Purifier,https://www.amazon.in/dp/B01ITEKPE4
3,20000174,B075DDP1PS,Eureka Forbes AquaSure 4000-Litre Cartridge (White),https://www.amazon.in/dp/B075DDP1PS
3,20000180,B077NCSJK2,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Active Adult Dogs, 18 months onwards), 1.2 KG",https://www.amazon.in/dp/B077NCSJK2
3,20000180,B077NDXD8P,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Active Adult Dogs, 18 months onwards), 3 KG",https://www.amazon.in/dp/B077NDXD8P
3,20000180,B077NCSF44,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Active Adult Dogs, 18 months onwards), 10 KG",https://www.amazon.in/dp/B077NCSF44
3,20000180,B077NF4N4D,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Active Adult Dogs, 18 months onwards), 20 KG",https://www.amazon.in/dp/B077NF4N4D
3,20000181,B077ND93K3,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Adult Small Breed, 9 months onwards), 1.2 KG",https://www.amazon.in/dp/B077ND93K3
3,20000181,B077ND9486,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Adult Small Breed, 9 months onwards), 3 KG",https://www.amazon.in/dp/B077ND9486
3,20000182,B077NGV1NZ,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food, Starter Mother and Pup), 1.2 KG",https://www.amazon.in/dp/B077NGV1NZ
3,20000182,B077NF259L,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food, Starter Mother and Pup), 3 KG",https://www.amazon.in/dp/B077NF259L
3,20000182,B077NFHL4T,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food, Starter Mother and Pup), 10 KG",https://www.amazon.in/dp/B077NFHL4T
3,20000183,B077NF235H,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Puppy Large Breed, 3-18 months), 1.2 KG",https://www.amazon.in/dp/B077NF235H
3,20000183,B077NDLZYD,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Puppy Large Breed, 3-18 months), 3 KG",https://www.amazon.in/dp/B077NDLZYD
3,20000183,B077NCSK9Q,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Puppy Large Breed, 3-18 months), 10 KG",https://www.amazon.in/dp/B077NCSK9Q
3,20000183,B077NC967Q,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Puppy Small Breed, 2-9 months), 1.2 KG",https://www.amazon.in/dp/B077NC967Q
3,20000183,B077NCSK9P,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Puppy Small Breed, 2-9 months), 3 KG",https://www.amazon.in/dp/B077NCSK9P
3,20000184,B077N7TRMY,"Pedigree PRO; EXPERT NUTRITION for Dogs (Dry Food for Weight Management of Adult Dogs, 2yrs+), 3 KG",https://www.amazon.in/dp/B077N7TRMY
3,20000185,B07HH4RT53,"Pedigree Dentastix Advanced Oral Care Treats for Medium Breed Dogs, 80 g",https://www.amazon.in/dp/B07HH4RT53
3,20000185,B07HHDC9DR,"Pedigree Dentastix Advanced Oral Care Treats for Medium Breed Dogs (10-25 Kg), 9 Sticks, 720g",https://www.amazon.in/dp/B07HHDC9DR
3,20000186,B07HH8V9HC,"Pedigree Dentastix Advanced Oral Care Treats for Large Breed Dogs, 120 g",https://www.amazon.in/dp/B07HH8V9HC
3,20000186,B07HH59BN6,"Pedigree Dentastix Advanced Oral Care Treats for Large Breed Dogs (25 kg+), 6 Sticks, 720g",https://www.amazon.in/dp/B07HH59BN6
3,20000189,B07HH4RT54,"Pedigree Dentastix Advanced Oral Care Treats for Small Breed Dogs (5-10 Kg), 12 Sticks, 480g",https://www.amazon.in/dp/B07HH4RT54
3,20000189,B07HHDZKXJ,"Pedigree Dentastix Advanced Oral Care Treats for Small Breed Dogs (5-10 Kg), 40g",https://www.amazon.in/dp/B07HHDZKXJ
3,20000195,B07N3DFFLM,"Pedigree Adult Dry Dog Food (High Protein Variant) – Chicken, Egg & Rice, 20 Kg Pack",https://www.amazon.in/dp/B07N3DFFLM
3,20000196,B007P7V15E,"Cesar Adult Premium Wet Dog Food (Gourmet meal), Sasami - 70g ( Pack of 16 )",https://www.amazon.in/dp/B007P7V15E
3,20000197,B0046HMUYC,"Cesar Adult Premium Wet Dog Food (Gourmet meal), Sasami - 70g Pouch",https://www.amazon.in/dp/B0046HMUYC
3,20000198,B007P7V2K8,"Cesar Adult Premium Wet Dog Food (Gourmet meal), Sasami with Vegetables - 70g (Pack of 16)",https://www.amazon.in/dp/B007P7V2K8
3,20000199,B0046HMUZ6,"Cesar Adult Premium Wet Dog Food (Gourmet meal), Sasami with Vegetables - 70g Pouch",https://www.amazon.in/dp/B0046HMUZ6
3,20000200,B07ND7HGKK,"Sheba Fish Mix Premium Cat Food, Maguro and Bream in Gravy, 35 g (Pack of 12)",https://www.amazon.in/dp/B07ND7HGKK
